"null","Sourced","Placed","References","Value","Footprint","Quantity"
1,"","","C2, C4, C5, C6, C7, C8, C9, C12, C13, C14, C15, C16, C19, C20, C21","0u1F","C_0402_1005Metric",15
2,"✓","","C10, C11, C17, C18","16pF","C_0402_1005Metric",4
3,"✓","","C22, C23","0u1F","C_0603_1608Metric",2
4,"✓","","C1","4u7F","C_0402_1005Metric",1
5,"✓","","C3","1uF","C_0402_1005Metric",1
6,"✓","","R5, R6, R7, R8, R9","10k","R_0402_1005Metric",5
7,"✓","","R1, R3","4K7","R_0402_1005Metric",2
8,"✓","","R10, R11",0,"R_0603_1608Metric",2
9,"✓","","R2","1K5","R_0402_1005Metric",1
10,"✓","","R4","0k","R_0402_1005Metric",1
11,"✓","","R12",110,"R_0603_1608Metric",1
12,"✓","","R13",210,"R_0603_1608Metric",1
13,"","","D1","LED","LED_0805_2012Metric",1
14,"✓","","U1","PTLV709A33DBVR","SOT-23-5_DBV_TEX",1
15,"✓","","U2","ATmega168A-A","TQFP-32_7x7mm_P0.8mm",1
16,"","","U3","CDCE906PWR","PW0020A-IPC_A",1
17,"✓","","U4","WM8805GEDS_V","SSOP28_WM8805GEDS_V_CIR",1
18,"","","Y1","16M","XTAL_ABM7_ABR",1
19,"✓","","Y2","12M","XTAL_ABM7-12.000MHZ-D2Y-T",1
20,"","","H1","TL","MountingHole_2.2mm_M2_ISO7380_Pad_TopBottom",1
21,"","","H2","TR","MountingHole_2.2mm_M2_ISO7380_Pad_TopBottom",1
22,"","","H3","BL","MountingHole_2.2mm_M2_ISO7380_Pad_TopBottom",1
23,"","","H4","BR","MountingHole_2.2mm_M2_ISO7380_Pad_TopBottom",1
24,"","","JP1","MCLK_SEL","PinHeader_1x03_P2.54mm_Vertical",1
25,"","","TP1","TestPoint","TestPoint_Pad_D1.0mm",1
26,"","","J1","PWR IN","PinHeader_1x02_P2.54mm_Vertical",1
27,"","","J2","EXT_CLK_IN5","PinHeader_1x05_P2.54mm_Vertical",1
28,"","","J3","PWR Test","PinHeader_1x03_P2.54mm_Vertical",1
29,"","","J4","MCU_GPIOS2","PinHeader_1x03_P2.54mm_Vertical",1
30,"","","J5","FTDI_6P","PinHeader_1x06_P2.54mm_Vertical",1
31,"","","J6","AVR-ISP-6","PinHeader_2x03_P2.54mm_Vertical",1
32,"","","J7","CLKI_3TP","PinHeader_1x03_P1.27mm_Vertical",1
33,"","","J8","SEL_3TP","PinHeader_1x03_P1.27mm_Vertical",1
34,"","","J9","CLKO_3TP","PinHeader_1x03_P1.27mm_Vertical",1
35,"✓","","J10","FCR684204T","FCR684204T",1
36,"","","J11","DIN_DOUT_2TP","PinHeader_1x02_P1.27mm_Vertical",1
37,"","","J12","MCU_GPIOS1","PinHeader_1x04_P2.54mm_Vertical",1
38,"","","J13","AJ_TP5","PinHeader_1x05_P1.27mm_Vertical",1
39,"","","J14","C_G0","PinHeader_1x01_P1.27mm_Vertical",1
40,"","","J15","C_G7","PinHeader_1x01_P1.27mm_Vertical",1
41,"","","J16","C_RST","PinHeader_1x01_P1.27mm_Vertical",1
42,"","","J17","C_CLKOUT","PinHeader_1x01_P1.27mm_Vertical",1
